Problem (formerly Complaint Type),Agency Name,Department_Category
Missed Collection,Department of Sanitation,Sanitation
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Missed Collection,Department of Sanitation,Sanitation
WATER LEAK,Department of Housing Preservation and Development,Water Supply
Water System,Department of Environmental Protection,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Blocked Driveway,New York City Police Department,Roads
Derelict Vehicles,Department of Sanitation,Sanitation
Blocked Driveway,New York City Police Department,Roads
Noise - Residential,New York City Police Department,Health
Sewer,Department of Environmental Protection,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise - Vehicle,New York City Police Department,Health
Noise,Department of Environmental Protection,Water Supply
Abandoned Bike,Department of Sanitation,Sanitation
Blocked Driveway,New York City Police Department,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Helicopter,Economic Development Corporation,Health
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise - Residential,New York City Police Department,Health
Noise - Residential,New York City Police Department,Health
Rodent,Department of Health and Mental Hygiene,Health
Blocked Driveway,New York City Police Department,Roads
Street Condition,Department of Transportation,Roads
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
WATER LEAK,Department of Housing Preservation and Development,Water Supply
Noise - Vehicle,New York City Police Department,Health
Noise - Residential,New York City Police Department,Health
Noise - Residential,New York City Police Department,Health
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Air Quality,Department of Environmental Protection,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise - Vehicle,New York City Police Department,Health
Traffic Signal Condition,Department of Transportation,Roads
Rodent,Department of Health and Mental Hygiene,Health
Noise - Residential,New York City Police Department,Health
Sidewalk Condition,Department of Transportation,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Commercial,New York City Police Department,Health
Graffiti,Department of Sanitation,Sanitation
Noise - Residential,New York City Police Department,Health
Sewer Maintenance,Department of Environmental Protection,Water Supply
Water System,Department of Environmental Protection,Water Supply
Street Light Condition,Department of Transportation,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Residential,New York City Police Department,Health
Sewer,Department of Environmental Protection,Water Supply
Water System,Department of Environmental Protection,Water Supply
Noise - Residential,New York City Police Department,Health
WATER LEAK,Department of Housing Preservation and Development,Water Supply
Noise,Department of Environmental Protection,Water Supply
Noise - Street/Sidewalk,New York City Police Department,Roads
Asbestos,Department of Environmental Protection,Water Supply
Derelict Vehicles,Department of Sanitation,Sanitation
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Residential,New York City Police Department,Health
Noise - Commercial,New York City Police Department,Health
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
Vendor Enforcement,Department of Sanitation,Sanitation
Blocked Driveway,New York City Police Department,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Residential,New York City Police Department,Health
Blocked Driveway,New York City Police Department,Roads
Noise - Vehicle,New York City Police Department,Health
Indoor Air Quality,Department of Health and Mental Hygiene,Health
Noise - Vehicle,New York City Police Department,Health
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Water System,Department of Environmental Protection,Water Supply
Noise - Residential,New York City Police Department,Health
Blocked Driveway,New York City Police Department,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
Blocked Driveway,New York City Police Department,Roads
Abandoned Bike,Department of Sanitation,Sanitation
Derelict Vehicles,Department of Sanitation,Sanitation
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise - Helicopter,Economic Development Corporation,Health
Noise - Street/Sidewalk,New York City Police Department,Roads
Water Drainage,Department of Buildings,Water Supply
Missed Collection,Department of Sanitation,Sanitation
Noise - Residential,New York City Police Department,Health
Sewer,Department of Environmental Protection,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise - Commercial,New York City Police Department,Health
Water System,Department of Environmental Protection,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Sewer,Department of Environmental Protection,Water Supply
Blocked Driveway,New York City Police Department,Roads
Blocked Driveway,New York City Police Department,Roads
Rodent,Department of Health and Mental Hygiene,Health
Noise - Street/Sidewalk,New York City Police Department,Roads
Obstruction,Department of Sanitation,Sanitation
Street Condition,Department of Transportation,Roads
Noise - Vehicle,New York City Police Department,Health
Noise - Commercial,New York City Police Department,Health
Sewer,Department of Environmental Protection,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
WATER LEAK,Department of Housing Preservation and Development,Water Supply
Noise - Residential,New York City Police Department,Health
Noise - Residential,New York City Police Department,Health
Rodent,Department of Health and Mental Hygiene,Health
Traffic Signal Condition,Department of Transportation,Roads
Noise - Residential,New York City Police Department,Health
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise - Residential,New York City Police Department,Health
Noise,Department of Environmental Protection,Water Supply
Noise - Residential,New York City Police Department,Health
Noise - Vehicle,New York City Police Department,Health
Blocked Driveway,New York City Police Department,Roads
Noise - Street/Sidewalk,New York City Police Department,Roads
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Street Light Condition,Department of Transportation,Roads
Blocked Driveway,New York City Police Department,Roads
Noise - Residential,New York City Police Department,Health
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise,Department of Environmental Protection,Water Supply
Noise - Residential,New York City Police Department,Health
Noise - Helicopter,Economic Development Corporation,Health
Noise - Commercial,New York City Police Department,Health
Street Light Condition,Department of Transportation,Roads
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Sewer,Department of Environmental Protection,Water Supply
WATER LEAK,Department of Housing Preservation and Development,Water Supply
Missed Collection,Department of Sanitation,Sanitation
Traffic Signal Condition,Department of Transportation,Roads
Indoor Air Quality,Department of Health and Mental Hygiene,Health
Water System,Department of Environmental Protection,Water Supply
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Helicopter,Economic Development Corporation,Health
Noise - Street/Sidewalk,New York City Police Department,Roads
Noise - Residential,New York City Police Department,Health
Water System,Department of Environmental Protection,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise - Residential,New York City Police Department,Health
Sidewalk Condition,Department of Transportation,Roads
Blocked Driveway,New York City Police Department,Roads
Blocked Driveway,New York City Police Department,Roads
Illegal Dumping,Department of Sanitation,Sanitation
Noise - Street/Sidewalk,New York City Police Department,Roads
Street Light Condition,Department of Transportation,Roads
Water System,Department of Environmental Protection,Water Supply
Noise - Helicopter,Economic Development Corporation,Health
Noise - Street/Sidewalk,New York City Police Department,Roads
Street Condition,Department of Transportation,Roads
Mobile Food Vendor,Department of Health and Mental Hygiene,Health
Noise - Residential,New York City Police Department,Health
Noise - Street/Sidewalk,New York City Police Department,Roads
Rodent,Department of Health and Mental Hygiene,Health
Lead,Department of Environmental Protection,Water Supply
Noise - Residential,New York City Police Department,Health
Lead,Department of Environmental Protection,Water Supply
Air Quality,Department of Environmental Protection,Water Supply
Harboring Bees/Wasps,Department of Health and Mental Hygiene,Health
Traffic Signal Condition,Department of Transportation,Roads
Noise - Helicopter,Economic Development Corporation,Health
Water Leak,Department of Housing Preservation and Development,Water Supply
Noise - Residential,New York City Police Department,Health
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
Noise,Department of Environmental Protection,Water Supply
Noise - Residential,New York City Police Department,Health
Blocked Driveway,New York City Police Department,Roads
HEAT/HOT WATER,Department of Housing Preservation and Development,Water Supply
